id_demande,table,var_croisement,var_croisement_relative,var_quanti,fonctions_agregations,condition,type_output,nom_fichier_xls,nom_onglet,titre,unite,var_evolution
1,table_finale,dept_agreg-AN,IND_AGRIC,poids,sum,,table,premiers_croisements.xlsx,caract_demo,Effectifs des non salariés (agriculture inclus),unite,AN
2,table_finale,dept_agreg-AN,IND_AGRIC,poids,sum,,table,premiers_croisements.xlsx,caract_demo,Effectifs des non salariés (agriculture inclus),unite,
3,table_finale,dept_agreg-AN,SX,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,caract_demo,Effectifs des non salariés par sexe (hors agriculture),unite,AN
4,table_finale,dept_agreg-AN,SX,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,caract_demo,Effectifs des non salariés par sexe (hors agriculture),unite,
5,table_finale,dept_agreg-AN,age_categ2,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,caract_demo,Effectifs des non salariés par âge (hors agriculture),unite,AN
6,table_finale,dept_agreg-AN,age_categ2,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,caract_demo,Effectifs des non salariés par âge (hors agriculture),unite,
7,table_finale,dept_agreg-AN,sect,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,secteur,Effectifs des non salariés par secteur d’activité (hors agriculture) ,unite,AN
8,table_finale,dept_agreg-AN,sect,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,secteur,Effectifs des non salariés par secteur d’activité (hors agriculture) ,unite,
9,table_finale,dept_agreg-AN-sect,type,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,secteur,Effectifs des non salariés par secteur d’activité selon le type de statut (hors agriculture),unite,AN
10,table_finale,dept_agreg-AN-sect,type,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,secteur,Effectifs des non salariés par secteur d’activité selon le type de statut (hors agriculture),unite,
11,table_finale,dept_agreg-AN-sect,type_classique,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,secteur,Effectifs des non salariés classiques par secteur d’activité (hors agriculture),unite,AN
12,table_finale,dept_agreg-AN-sect,type_classique,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,secteur,Effectifs des non salariés classiques par secteur d’activité (hors agriculture),unite,
13,table_finale,dept_agreg-AN,type,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,type,Effectifs des non salariés par type de statut (hors agriculture),unite,AN
14,table_finale,dept_agreg-AN,type,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,type,Effectifs des non salariés par type de statut (hors agriculture),unite,
15,table_finale,dept_agreg-AN-type,SX,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,type,Effectifs des non salariés par type de statut selon le sexe (hors agriculture),unite,AN
16,table_finale,dept_agreg-AN-type,SX,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,type,Effectifs des non salariés par type de statut selon le sexe (hors agriculture),unite,
17,table_finale,dept_agreg-AN-type_classique,SX,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,type,Effectifs des non salariés classiques selon le sexe (hors agriculture),unite,AN
18,table_finale,dept_agreg-AN-type_classique,SX,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,type,Effectifs des non salariés classiques selon le sexe (hors agriculture),unite,
19,table_finale,dept_agreg-AN-type,age_categ2,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,type,Effectifs des non salariés par type de statut selon l’âge (hors agriculture),unite,AN
20,table_finale,dept_agreg-AN-type,age_categ2,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,type,Effectifs des non salariés par type de statut selon l’âge (hors agriculture),unite,
21,table_finale,dept_agreg-AN-type_classique,age_categ2,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,type,Effectifs des non salariés par type de statut selon l’âge (hors agriculture),unite,AN
22,table_finale,dept_agreg-AN-type_classique,age_categ2,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,type,Effectifs des non salariés par type de statut selon l’âge (hors agriculture),unite,
23,table_finale,dept_agreg-AN,deficit,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,rev_nul,Effectifs des non salariés dont le revenu est nul (hors agriculture),unite,AN
24,table_finale,dept_agreg-AN,deficit,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,rev_nul,Effectifs des non salariés dont le revenu est nul (hors agriculture),unite,
25,table_finale,dept_agreg-AN-type,deficit,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,rev_nul,Effectifs des non salariés dont le revenu est nul par type de statut (hors agriculture),unite,AN
26,table_finale,dept_agreg-AN-type,deficit,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,rev_nul,Effectifs des non salariés dont le revenu est nul par type de statut (hors agriculture),unite,
27,table_finale,dept_agreg-AN-type_classique,deficit,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,rev_nul,Effectifs des non salariés classiques dont le revenu est nul (hors agriculture),unite,AN
28,table_finale,dept_agreg-AN-type_classique,deficit,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,rev_nul,Effectifs des non salariés classiques dont le revenu est nul (hors agriculture),unite,
29,table_finale,dept_agreg-AN-type_classique-sect,deficit,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,rev_nul,Effectifs des non salariés classiques dont le revenu est nul par secteur d’activité (hors agriculture),unite,AN
30,table_finale,dept_agreg-AN-type_classique-sect,deficit,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,rev_nul,Effectifs des non salariés classiques dont le revenu est nul par secteur d’activité (hors agriculture),unite,
31,table_finale,dept_agreg-AN,pluriact,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,pluri_act,Effectifs des non salariés pluriactifs (hors agriculture),unite,AN
32,table_finale,dept_agreg-AN,pluriact,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,pluri_act,Effectifs des non salariés pluriactifs (hors agriculture),unite,
33,table_finale,dept_agreg-AN-type,pluriact,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,pluri_act,Effectifs des non salariés pluriactifs par type de statut (hors agriculture),unite,AN
34,table_finale,dept_agreg-AN-type,pluriact,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,pluri_act,Effectifs des non salariés pluriactifs par type de statut (hors agriculture),unite,
35,table_finale,dept_agreg-AN-type_classique,pluriact,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,pluri_act,Effectifs des non salariés classiques pluriactifs par type de statut (hors agriculture),unite,AN
36,table_finale,dept_agreg-AN-type_classique,pluriact,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,pluri_act,Effectifs des non salariés classiques pluriactifs par type de statut (hors agriculture),unite,
37,table_finale,dept_agreg-AN,pluriact_categ,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,pluri_act,Effectifs des non salariés selon le type de pluriactivité  (hors agriculture),unite,AN
38,table_finale,dept_agreg-AN,pluriact_categ,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,pluri_act,Effectifs des non salariés selon le type de pluriactivité  (hors agriculture),unite,
39,table_finale,dept_agreg-AN-type_classique,pluriact_categ,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,pluri_act,Effectifs des non salariés classiques selon le type de pluriactivité  (hors agriculture),unite,AN
40,table_finale,dept_agreg-AN-type_classique,pluriact_categ,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,pluri_act,Effectifs des non salariés classiques selon le type de pluriactivité  (hors agriculture),unite,
41,table_finale,dept_agreg-AN-type,pluriact_categ,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,pluri_act,Effectifs des non salariés selon le type de pluriactivité par type de statut (hors agriculture),unite,AN
42,table_finale,dept_agreg-AN-type,pluriact_categ,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,pluri_act,Effectifs des non salariés selon le type de pluriactivité par type de statut (hors agriculture),unite,
