id_demande,table,var_croisement,var_croisement_relative,var_quanti,fonctions_agregations,condition,type_output,nom_fichier_xls,nom_onglet,titre,unite,var_evolution
1,table_finale,dept_agreg-AN,IND_AGRIC,poids,sum,,table,premiers_croisements.xlsx,caract_demo,Effectifs des non salariés (agriculture inclus),unite,AN
1,table_finale,dept_agreg-AN,IND_AGRIC,poids,sum,,table,premiers_croisements.xlsx,caract_demo,Effectifs des non salariés (agriculture inclus),unite,
1,table_finale,dept_agreg-AN,SX,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,caract_demo,Effectifs des non salariés par sexe (hors agriculture),unite,AN
1,table_finale,dept_agreg-AN,SX,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,caract_demo,Effectifs des non salariés par sexe (hors agriculture),unite,
1,table_finale,dept_agreg-AN,age_categ2,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,caract_demo,Effectifs des non salariés par âge (hors agriculture),unite,AN
1,table_finale,dept_agreg-AN,age_categ2,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,caract_demo,Effectifs des non salariés par âge (hors agriculture),unite,
1,table_finale,dept_agreg-AN,sect,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,secteur,Effectifs des non salariés par secteur d’activité (hors agriculture) ,unite,AN
1,table_finale,dept_agreg-AN,sect,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,secteur,Effectifs des non salariés par secteur d’activité (hors agriculture) ,unite,
1,table_finale,dept_agreg-AN-sect,type,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,secteur,Effectifs des non salariés par secteur d’activité selon le type de statut (hors agriculture),unite,AN
1,table_finale,dept_agreg-AN-sect,type,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,secteur,Effectifs des non salariés par secteur d’activité selon le type de statut (hors agriculture),unite,
1,table_finale,dept_agreg-AN-sect,type_classique,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,secteur,Effectifs des non salariés classiques par secteur d’activité (hors agriculture),unite,AN
1,table_finale,dept_agreg-AN-sect,type_classique,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,secteur,Effectifs des non salariés classiques par secteur d’activité (hors agriculture),unite,
1,table_finale,dept_agreg-AN,type,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,type,Effectifs des non salariés par type de statut (hors agriculture),unite,AN
1,table_finale,dept_agreg-AN,type,poids,sum,IND_AGRIC == 0,table,premiers_croisements.xlsx,type,Effectifs des non salariés par type de statut (hors agriculture),unite,
